avaliacoes,produto_id,descricao
"Ótimo produto, adorei a qualidade e o preço.",4,Fone de Ouvido
"Péssimo atendimento, demorou muito para chegar.",1,Teclado
"Produto excelente, vale o preço.",1
"Infelizmente, não gostei da qualidade do material.",1
"A entrega foi super rápida, estou satisfeito.",1
"Produto chegou quebrado, não recomendo.",1
"Boa qualidade, mas o preço é alto.",1
"Produto de péssima qualidade, não vale a pena.",2,Mouse
"Recomendo, produto de qualidade e entrega rápida.",2
"Demorou demais para chegar, não compraria novamente.",2
"Atendimento excelente, muito atenciosos.",2
"Produto com defeito, tive que trocar.",1
Preço justo pela qualidade do produto.,1
"O material é bem fraco, poderia ser melhor.",1
Adorei! Chegou antes do prazo e em perfeito estado.,1
"Não gostei, a cor não é igual à da foto.",1
"Muito bom, funciona perfeitamente.",1
"Parece usado, não gostei.",1
"Produto ótimo, superou minhas expectativas.",1
"A caixa chegou toda amassada, mas o produto estava ok.",1
Maravilhoso! Recomendo para todos.,3,Monitor
"Péssimo, não corresponde ao anunciado.",1
"Muito satisfeito, vale cada centavo.",1
"Não recomendo, péssima experiência de compra.",1
"Simples e funcional, cumpre o que promete.",1
Produto bem embalado e entrega rápida.,1
"Horrível, produto quebrou no primeiro uso.",2
"Gostei bastante, vou comprar mais vezes.",1
"Tamanho errado, não serviu.",1
"Produto muito bom, mas a embalagem estava danificada.",1
"Qualidade excelente, bem acima da média.",2
"Produto mal feito, parece que vai quebrar a qualquer momento.",1
"Muito feliz com a compra, recomendo.",1
O manual de instruções é confuso.,1
"Gostei, mas poderia ser mais barato.",1
"Funciona bem, sem problemas até agora.",2
"Muito ruim, não era o que eu esperava.",1
"Ótimo custo-benefício, recomendo.",1
Produto não condiz com a descrição.,1
Entrega super rápida e produto bem protegido.,1
Muito caro pelo que oferece.,1
Atendimento ao cliente deixou a desejar.,1
"Produto de excelente qualidade, recomendo.",1
"A entrega atrasou, mas valeu a espera.",1
"Não gostei, não é confortável.",1
"Produto incrível, muito bonito e funcional.",1
"Muito frágil, não deve durar muito.",1
"Ótimo para o dia a dia, gostei bastante.",1
"Produto chegou sujo, mas funciona bem.",2
Entrega dentro do prazo e produto bem embalado.,1
A qualidade é inferior ao que eu esperava.,1
"Valeu a pena, ótimo investimento.",1
Produto veio com peças faltando.,3
"Cumpre o que promete, sem surpresas.",1
"Produto bom, mas não é tudo o que dizem.",1
"Entrega muito rápida, me surpreendeu.",1
"Não funcionou direito, tive que devolver.",3
Produto bem feito e durável.,1
Preço alto para a qualidade oferecida.,1
"Achei que seria melhor, mas é aceitável.",1
"Entrega super rápida, muito satisfeita.",1
"Produto funcional, mas nada de especial.",3
"Não vale o preço, esperava mais.",1
"Muito prático, ideal para quem precisa.",1
"Chegou em perfeito estado, sem problemas.",1
"Produto frágil, já quebrou uma parte.",1
"Gostei muito, comprarei novamente.",1
"Produto ruim, muito abaixo do esperado.",1
"Perfeito, recomendo para todos.",1
A entrega atrasou e o atendimento foi ruim.,3
"Boa qualidade, atende bem às necessidades.",1
"Não gostei, o tamanho não é o que eu esperava.",1
"Produto excelente, super recomendo.",1
Chegou no prazo e é exatamente como descrito.,3
"Horrível, não funciona direito.",1
"A qualidade é boa, mas o preço é muito alto.",1
"Estou muito satisfeito, superou minhas expectativas.",1
"Produto veio com defeito, uma decepção.",1
"Muito útil, gostei bastante.",1
"Produto mal embalado, chegou danificado.",1
"Atendeu minhas expectativas, gostei.",1
Produto chegou rápido e em bom estado.,1
"Baixa qualidade, não recomendo.",1
Perfeito para o que eu precisava.,1
"Demorou muito para chegar, péssimo serviço.",1
"Ótima qualidade, vale cada centavo.",3
Produto não vale o valor cobrado.,1
"Entrega dentro do prazo, sem problemas.",1
"Produto com ótimo acabamento, recomendo.",1
"A embalagem estava danificada, mas o produto está bom.",1
"Produto muito bom, mas achei caro.",1
"Chegou antes do previsto, adorei.",1
"O produto é funcional, mas não impressiona.",1
"Produto quebrado, atendimento ruim.",1
"Produto excelente, muito feliz com a compra.",1
"Não gostei da qualidade, parece frágil.",1
Atendimento ao cliente muito prestativo.,1
Produto prático e de fácil uso.,1
"Não chegou no prazo, mas gostei do produto.",3
"Bom produto, mas o preço é um pouco salgado.",3
Veio em perfeito estado e antes do prazo.,3
"Produto ruim, não funciona bem.",1
"Maravilhoso, uso todos os dias.",1
"Produto é mediano, esperava mais.",1
"Muito barato e funcional, gostei.",3
